Sr. No.,Emp. Code,Emp. Tags,Employee Name,Employee Number,To Name,Country Code,To Number,Call Type,Duration,Call Date,Call Time,Notes,Unique customer Id,Incoming Calls,Incoming Duration,Outgoing Calls,Outgoing Duration,Missed,Rejected,Connected Calls,Never Attended,Call Status,Purpose of Call,Region,Customer Feedback,Department,Follow-Up Required
446.0,FB015,New York,Rachel,+918888800005,Candice Mooney,+998,7967900917,,,2022-03-16,01:34 PM,,,1.0,14 mins 6 secs,2.0,,,2.0,,,Busy,Sales,Africa,Satisfied,Sales,No
447.0,FB008,,Steve,+918888800004,Shawn Choi,+506,,,10 mins 50 secs,2020-12-26,07:57 AM,,,4.0,8 mins 124 secs,4.0,72 mins 228 secs,1.0,1.0,6.0,2.0,,Support,North America,,,No
448.0,FB015,New York,Rachel,+918888800005,,+251,+1-276-274-4802,,1 mins 36 secs,2020-09-14,05:49 PM,Military state relationship participant thus per.,CUST0448,1.0,11 mins 46 secs,5.0,90 mins 10 secs,,2.0,3.0,,No Answer,Inquiry,Asia,Satisfied,Sales,
449.0,FB002,,Ankur Garde,+918888800002,Harold Edwards MD,+1 340,887-697-8052,Outgoing,7 mins 18 secs,2022-11-16,05:10 AM,After management pretty late.,,5.0,35 mins 195 secs,1.0,14 mins 14 secs,0.0,1.0,1.0,5.0,Completed,,North America,Neutral,,
450.0,FB003,Pune,Shubhangi,,,+1 664,720-471-0769x81157,,3 mins 1 secs,2023-03-07,,Sing foreign available think.,CUST0450,2.0,12 mins 0 secs,1.0,,0.0,2.0,0.0,3.0,,Sales,Europe,Satisfied,Sales,
451.0,FB001,Nagpur,,,Shannon Lane,+856,570.330.2485,Incoming,12 mins 12 secs,2023-06-30,04:00 AM,Official weight man land.,,1.0,,0.0,0 mins 0 secs,0.0,0.0,1.0,0.0,Failed,Sales,North America,Neutral,Sales,Yes
452.0,FB001,Nagpur,,+918888800001,,+596,+1-685-860-9919x3364,,18 mins 4 secs,2021-12-31,03:23 AM,Become tree throughout understand middle action player.,CUST0452,5.0,45 mins 15 secs,2.0,,0.0,1.0,6.0,1.0,,Follow-up,,Dissatisfied,Sales,No
453.0,FB008,New York,Steve,+918888800004,Justin King,+974,(916)351-9246x79869,,,2022-09-08,04:53 PM,Military measure media I large decide.,CUST0453,2.0,28 mins 12 secs,2.0,,2.0,2.0,4.0,0.0,No Answer,Inquiry,Europe,Neutral,Support,No
454.0,FB001,Nagpur,,+918888800001,,+683,,Incoming,12 mins 19 secs,2023-03-31,,Responsibility room best reduce range.,CUST0454,5.0,25 mins 50 secs,3.0,15 mins 114 secs,0.0,,7.0,,No Answer,Inquiry,Australia,,Sales,No
,FB003,,Shubhangi,+918888800003,Howard Benjamin,+212,447.350.0756x102,Incoming,8 mins 41 secs,,09:54 PM,Threat low significant process interesting week house.,CUST0455,0.0,0 mins 0 secs,,13 mins 44 secs,2.0,0.0,0.0,1.0,Completed,Feedback,Europe,Neutral,,Yes
456.0,,New York,Rachel,+918888800005,Samantha Robinson,+90,846-573-9604,Outgoing,15 mins 12 secs,2022-11-16,02:36 AM,,CUST0456,4.0,16 mins 160 secs,3.0,42 mins 15 secs,1.0,2.0,,5.0,No Answer,Inquiry,Africa,Satisfied,Sales,Yes
457.0,FB001,Nagpur,,+918888800001,Robert Nelson,+93,(740)552-0487x93946,,17 mins 50 secs,2020-08-31,06:40 AM,Especially network write rise.,,1.0,10 mins 26 secs,0.0,,,1.0,1.0,0.0,Busy,Sales,Asia,Dissatisfied,,Yes
458.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Michael Johnson,+261,,Outgoing,4 mins 14 secs,2024-03-18,05:10 PM,Democrat big fear effect painting treatment.,CUST0458,2.0,10 mins 16 secs,0.0,,1.0,1.0,,1.0,Completed,Support,Australia,Satisfied,Sales,Yes
459.0,,Pune,Shubhangi,+918888800003,,,6454509739,Outgoing,5 mins 11 secs,2023-01-14,08:43 PM,Movement American national yourself hand data.,CUST0459,,54 mins 168 secs,4.0,,,0.0,,5.0,Busy,Inquiry,North America,Dissatisfied,Sales,No
460.0,,New York,Steve,+918888800004,,,870.376.2894x633,Incoming,,2021-12-20,07:35 PM,On western eight value sister same.,CUST0460,3.0,27 mins 105 secs,,8 mins 59 secs,1.0,2.0,0.0,,Completed,,Europe,Satisfied,Support,
461.0,FB001,Nagpur,,+918888800001,William Delgado,+375,+1-429-986-4229x26162,,7 mins 49 secs,2024-01-19,10:09 AM,Tree science citizen his trade moment.,CUST0461,2.0,,,3 mins 38 secs,0.0,1.0,,1.0,Failed,Feedback,Asia,Satisfied,Sales,No
462.0,,,Steve,+918888800004,Mr. Timothy Graves DDS,+232,563.236.5894x33032,Incoming,3 mins 23 secs,2022-06-19,11:32 PM,Over environment ability easy.,CUST0462,2.0,,4.0,40 mins 72 secs,2.0,2.0,,,No Answer,Feedback,,Satisfied,Support,No
463.0,FB002,Mumbai,Ankur Garde,,Denise Ryan,+971,(209)429-0670x2264,,3 mins 42 secs,2021-11-20,04:36 PM,,CUST0463,1.0,16 mins 59 secs,2.0,2 mins 52 secs,2.0,2.0,0.0,3.0,No Answer,Feedback,North America,Satisfied,Support,No
464.0,FB001,Nagpur,,+918888800001,Christopher Becker,,001-603-402-6409,Incoming,13 mins 15 secs,,06:59 AM,,CUST0464,1.0,12 mins 37 secs,5.0,100 mins 255 secs,2.0,1.0,5.0,,Failed,Support,Africa,Dissatisfied,,
465.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Megan Houston,+374 47,,,,,02:14 AM,Mean glass born worry sell.,CUST0465,,36 mins 28 secs,,,2.0,1.0,1.0,6.0,Failed,Sales,Africa,Dissatisfied,Sales,No
466.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Crystal Edwards,+1 767,001-487-822-9555x68753,Incoming,18 mins 17 secs,2021-05-28,10:36 PM,Form else necessary raise small hit scientist.,CUST0466,2.0,30 mins 104 secs,2.0,10 mins 78 secs,2.0,,3.0,1.0,Failed,Sales,Australia,,,Yes
467.0,FB008,New York,,+918888800004,,+264,(804)986-9524x65293,Incoming,14 mins 4 secs,2020-11-14,05:30 AM,Suggest we sound.,,0.0,0 mins 0 secs,3.0,30 mins 123 secs,2.0,1.0,2.0,1.0,Busy,Support,North America,Dissatisfied,Support,
468.0,,New York,Rachel,+918888800005,Patricia Chavez,,985.309.5490,Outgoing,9 mins 31 secs,,04:14 AM,,,4.0,32 mins 116 secs,1.0,,2.0,1.0,3.0,2.0,No Answer,Feedback,North America,,Sales,Yes
469.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,,+685,+1-781-454-0015x313,Incoming,,,10:17 PM,Evening home again soon.,CUST0469,,45 mins 295 secs,,,1.0,2.0,,5.0,Completed,Support,,Dissatisfied,Sales,No
470.0,,Pune,Shubhangi,,Belinda Carlson,+994,+1-514-497-6471x75382,Outgoing,20 mins 37 secs,2023-10-26,,Good clearly special miss Mr now establish.,CUST0470,1.0,13 mins 58 secs,1.0,18 mins 36 secs,1.0,1.0,,,No Answer,,Africa,Neutral,Sales,
471.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Vanessa Cooper,+54,791-465-0351,Outgoing,11 mins 3 secs,2022-10-27,,Offer state public treat them.,,2.0,40 mins 104 secs,3.0,24 mins 141 secs,1.0,0.0,0.0,5.0,,Follow-up,Europe,,Sales,No
472.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Michael Walker,+1 869,001-867-781-7080,Outgoing,17 mins 42 secs,2023-06-08,12:27 AM,Little process set.,CUST0472,2.0,24 mins 110 secs,,,1.0,,,,Completed,Feedback,Europe,,,No
,FB015,New York,Rachel,+918888800005,Andrew Murray,+1 869,,Incoming,8 mins 44 secs,2021-04-15,03:39 AM,Husband minute idea cultural.,CUST0473,,3 mins 41 secs,,80 mins 136 secs,2.0,,5.0,0.0,Failed,Inquiry,,,,Yes
474.0,FB001,Nagpur,Aniruddha Kalbande,,,+353,309-917-0688x300,Outgoing,,2021-11-12,11:41 PM,,,5.0,85 mins 215 secs,2.0,18 mins 54 secs,0.0,,7.0,0.0,No Answer,Sales,North America,Satisfied,Sales,No
475.0,,Mumbai,,,,,,,13 mins 36 secs,2023-05-08,03:36 PM,Particular teacher movie there whole seven plant administration.,CUST0475,5.0,45 mins 290 secs,1.0,8 mins 24 secs,0.0,2.0,3.0,3.0,,,,Satisfied,Support,
,FB003,,,+918888800003,Gabriel Gray,,001-419-341-2184x6032,,8 mins 16 secs,2024-03-11,02:56 PM,,CUST0476,,14 mins 8 secs,0.0,0 mins 0 secs,,0.0,,1.0,,Follow-up,Asia,,Sales,Yes
477.0,FB003,,Shubhangi,+918888800003,Sara Newman,+212,(895)648-5078,Outgoing,11 mins 4 secs,,11:16 AM,These within trouble executive.,CUST0477,2.0,4 mins 0 secs,1.0,13 mins 40 secs,1.0,2.0,1.0,2.0,Completed,Support,,Dissatisfied,Sales,Yes
,,Pune,Shubhangi,+918888800003,Joshua Rodriguez,,(250)487-8469x8933,Incoming,8 mins 46 secs,2022-08-27,05:05 PM,Me coach population word degree speak.,CUST0478,2.0,,4.0,52 mins 32 secs,,2.0,3.0,3.0,Failed,Support,North America,Satisfied,Sales,No
479.0,FB002,Mumbai,Ankur Garde,+918888800002,Nancy Smith,+596,,Incoming,14 mins 25 secs,,07:37 AM,Sea bit fine teach cell.,CUST0479,3.0,39 mins 90 secs,4.0,32 mins 192 secs,0.0,2.0,0.0,7.0,Completed,Sales,Europe,Neutral,Support,Yes
480.0,FB008,New York,Steve,+918888800004,Nicole Molina,+298,907.906.7438,Incoming,15 mins 27 secs,2021-01-31,12:38 PM,Rather church technology this task kid.,CUST0480,,16 mins 136 secs,4.0,24 mins 28 secs,1.0,0.0,,0.0,Completed,Feedback,,Dissatisfied,Support,
481.0,FB002,Mumbai,,,,+970,001-754-412-4555x37829,Incoming,14 mins 2 secs,2020-10-20,06:16 AM,,,,100 mins 200 secs,,90 mins 85 secs,0.0,2.0,9.0,1.0,Busy,Follow-up,,Neutral,Support,
482.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Ms. Denise Lopez,+262 639,879-230-5336,Outgoing,12 mins 57 secs,2024-04-04,,,CUST0482,4.0,,3.0,60 mins 27 secs,0.0,,2.0,,,Feedback,Asia,Dissatisfied,Sales,
483.0,FB003,Pune,Shubhangi,+918888800003,Javier Clark Jr.,+297,,Outgoing,,2022-05-12,02:42 PM,Mrs break century.,CUST0483,4.0,,,56 mins 124 secs,,,6.0,,Busy,Follow-up,Asia,,Sales,Yes
484.0,FB001,,Aniruddha Kalbande,+918888800001,Lauren Barnes,+1 684,001-846-237-5454,Outgoing,11 mins 2 secs,,09:32 PM,Professor appear well pull she talk.,CUST0484,1.0,13 mins 6 secs,1.0,9 mins 18 secs,0.0,1.0,2.0,0.0,Completed,Support,Australia,Satisfied,Sales,No
,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Pamela Jensen,,,Incoming,13 mins 34 secs,2023-09-18,01:36 PM,Recent sort in quality deal lead.,CUST0485,3.0,42 mins 78 secs,3.0,48 mins 141 secs,,0.0,1.0,5.0,Failed,Follow-up,Europe,Dissatisfied,,Yes
,,New York,Steve,+918888800004,Teresa Smith,+44 7624,417-603-4372x97693,Incoming,18 mins 14 secs,2024-05-03,01:56 AM,Low law reality we keep company.,CUST0486,4.0,20 mins 68 secs,2.0,,,0.0,0.0,6.0,Busy,,Asia,Neutral,Support,
487.0,FB003,Pune,Shubhangi,+918888800003,Jennifer Lambert,+229,(950)206-4704x814,,12 mins 4 secs,2024-05-20,03:30 PM,Personal after financial to hope language.,CUST0487,,0 mins 0 secs,,,1.0,2.0,4.0,1.0,No Answer,Inquiry,Asia,,Sales,Yes
488.0,FB001,,Aniruddha Kalbande,,Lindsay Miller,+590,6526128301,,14 mins 53 secs,2023-10-22,,Compare again sit food us son.,,,0 mins 0 secs,,32 mins 28 secs,2.0,2.0,0.0,4.0,Completed,Support,Africa,,Sales,
,FB001,,,+918888800001,Ricardo Reid,,3298056937,,3 mins 33 secs,2024-07-06,02:50 PM,Day from guy question experience teacher put.,,5.0,45 mins 265 secs,1.0,,1.0,2.0,1.0,5.0,No Answer,Support,Europe,Neutral,Sales,Yes
490.0,FB001,Nagpur,Aniruddha Kalbande,,Joseph Davis,+881 3,,Outgoing,10 mins 26 secs,2021-01-27,11:43 PM,Model nature want performance worker hair majority.,CUST0490,0.0,0 mins 0 secs,0.0,0 mins 0 secs,0.0,2.0,0.0,0.0,Failed,Inquiry,,Dissatisfied,Sales,Yes
491.0,FB002,Mumbai,Ankur Garde,+918888800002,Patricia Mitchell,,(843)766-9076x020,Incoming,16 mins 52 secs,2024-07-24,04:54 PM,Space store down sound.,,3.0,15 mins 117 secs,1.0,1 mins 54 secs,,0.0,0.0,4.0,,Inquiry,Australia,Dissatisfied,Support,No
492.0,,,Rachel,+918888800005,Brian Hall,+962,530-666-3331,,,2022-06-06,,,CUST0492,0.0,,4.0,72 mins 192 secs,0.0,1.0,2.0,2.0,Busy,Sales,Australia,Neutral,Sales,
493.0,FB002,Mumbai,,,Valerie Webb,+373 2,2264502352,Incoming,3 mins 7 secs,2022-11-20,03:51 AM,Determine blood industry guy yes.,CUST0493,0.0,0 mins 0 secs,0.0,0 mins 0 secs,2.0,1.0,0.0,0.0,No Answer,Feedback,Europe,Dissatisfied,Support,Yes
494.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Jacob Rivas,+351,+1-672-488-2477,,14 mins 37 secs,2024-06-13,07:11 AM,Cell myself leave those together thought.,CUST0494,,,5.0,15 mins 295 secs,2.0,0.0,,5.0,,Inquiry,Africa,Dissatisfied,Sales,
,FB015,,Rachel,+918888800005,,+374 97,257-512-9844,,,2023-10-11,06:10 AM,Young forget just contain.,CUST0495,,6 mins 3 secs,,24 mins 172 secs,1.0,2.0,,0.0,Busy,Follow-up,Asia,Satisfied,Sales,
496.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Christopher Richmond,+98,001-510-894-3180x48489,Incoming,,2022-05-30,,Fish far all represent avoid increase meet.,,0.0,0 mins 0 secs,0.0,,0.0,1.0,,0.0,,Feedback,Africa,Dissatisfied,Sales,Yes
497.0,FB002,Mumbai,Ankur Garde,+918888800002,Sherry Nicholson,+353,,Incoming,17 mins 55 secs,,07:28 PM,,CUST0497,0.0,0 mins 0 secs,1.0,,0.0,1.0,,,Failed,Follow-up,,Dissatisfied,Support,No
498.0,FB008,New York,,+918888800004,Michael Curry,+238,606.216.1744,Incoming,,2021-10-17,03:51 AM,Quite a read accept believe successful would find.,CUST0498,0.0,0 mins 0 secs,,68 mins 204 secs,1.0,,0.0,4.0,,Follow-up,Asia,Satisfied,Support,
499.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,,+590,862-392-6629x249,Outgoing,1 mins 34 secs,2024-08-18,03:02 PM,Three media away step.,CUST0499,1.0,,5.0,15 mins 165 secs,0.0,2.0,4.0,2.0,Completed,Inquiry,Europe,,Sales,Yes
500.0,FB002,Mumbai,Ankur Garde,,Johnny Santos,+881 9,899-385-2130x265,Outgoing,14 mins 51 secs,2022-07-16,07:35 PM,,CUST0500,,24 mins 24 secs,2.0,34 mins 54 secs,,2.0,2.0,2.0,Busy,Inquiry,Europe,Satisfied,Support,No
501.0,,New York,Rachel,+918888800005,Douglas Thomas,+996,2507771578,Incoming,13 mins 22 secs,2021-09-22,10:34 AM,Important each create heavy.,,1.0,18 mins 59 secs,2.0,34 mins 0 secs,0.0,0.0,3.0,0.0,Failed,Inquiry,North America,Neutral,Sales,Yes
502.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,,+508,(393)279-3464x6098,Incoming,,2024-02-25,10:07 PM,Education itself fly red.,CUST0502,,1 mins 1 secs,0.0,0 mins 0 secs,0.0,0.0,1.0,,,,,Dissatisfied,,Yes
503.0,FB001,,Aniruddha Kalbande,,,,4306045397,Outgoing,1 mins 33 secs,2023-03-06,06:53 PM,Language economy bit enter.,,3.0,54 mins 69 secs,2.0,14 mins 74 secs,2.0,2.0,2.0,3.0,Busy,,Africa,Satisfied,Sales,Yes
504.0,FB015,New York,Rachel,+918888800005,,+34,001-273-986-8315x40872,,13 mins 5 secs,2020-08-26,01:58 AM,Lawyer trial sing across short.,,,,5.0,20 mins 140 secs,,0.0,,7.0,No Answer,Follow-up,Africa,,Sales,Yes
505.0,FB008,,Steve,+918888800004,,+241,,Incoming,20 mins 2 secs,2024-05-27,05:04 AM,Task finish especially writer good.,CUST0505,5.0,,,,2.0,,6.0,4.0,No Answer,,North America,Dissatisfied,Support,No
506.0,FB008,,Steve,+918888800004,Scott Foster,+52,(841)890-2907,Incoming,18 mins 14 secs,2023-11-23,,Story two know agree usually.,CUST0506,0.0,0 mins 0 secs,4.0,16 mins 216 secs,,2.0,4.0,0.0,Busy,Sales,Europe,Dissatisfied,,No
507.0,FB002,Mumbai,Ankur Garde,,Sabrina Burgess,+64,+1-688-882-7490x290,,,2024-01-11,02:34 PM,Age change from beat window action.,CUST0507,4.0,80 mins 116 secs,,48 mins 102 secs,2.0,2.0,,6.0,,Follow-up,Asia,Dissatisfied,Support,Yes
,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Anthony Cobb,+255,,Outgoing,,2021-09-22,08:14 PM,Tv shoulder food performance which.,CUST0508,0.0,0 mins 0 secs,,7 mins 15 secs,1.0,2.0,1.0,,,Support,North America,Neutral,Sales,No
509.0,FB015,New York,,+918888800005,Sharon Lopez,+689,,Incoming,,,08:35 AM,Bad fly establish apply finish.,CUST0509,5.0,55 mins 65 secs,0.0,0 mins 0 secs,1.0,2.0,3.0,2.0,No Answer,Sales,Australia,Dissatisfied,Sales,
,,Nagpur,Aniruddha Kalbande,+918888800001,Nicole Fisher,,448.375.3309x397,Incoming,4 mins 22 secs,2022-10-08,01:18 AM,Worker treat Democrat more.,CUST0510,3.0,,,44 mins 4 secs,0.0,0.0,5.0,2.0,,Support,North America,Neutral,,
,FB001,Nagpur,Aniruddha Kalbande,+918888800001,,,(851)442-7234x668,Outgoing,,2022-04-29,,Its audience teach ready gas.,,0.0,0 mins 0 secs,0.0,0 mins 0 secs,,0.0,0.0,0.0,Completed,Sales,,Neutral,Sales,Yes
512.0,FB008,New York,Steve,+918888800004,Elizabeth King,+262 269,779.502.5359x3146,Outgoing,19 mins 55 secs,2024-05-23,05:03 PM,Director agent administration main poor tree there.,CUST0512,5.0,25 mins 145 secs,3.0,48 mins 114 secs,0.0,1.0,2.0,6.0,No Answer,Sales,,Neutral,Support,Yes
513.0,FB002,Mumbai,Ankur Garde,+918888800002,Melissa White,+255 24,245-869-2223x76531,Outgoing,6 mins 50 secs,2022-10-08,02:02 PM,Guess no industry poor.,CUST0513,0.0,0 mins 0 secs,1.0,15 mins 33 secs,2.0,1.0,0.0,,Busy,,North America,Dissatisfied,Support,Yes
514.0,,New York,,,Donna Stewart,+84,(609)279-7025x33047,,10 mins 34 secs,2023-04-23,06:24 AM,,CUST0514,5.0,65 mins 15 secs,3.0,42 mins 45 secs,2.0,2.0,7.0,1.0,Failed,Inquiry,Australia,Dissatisfied,Support,
515.0,FB002,Mumbai,Ankur Garde,+918888800002,,+673,(965)588-4936x25136,Outgoing,,2021-12-05,09:23 AM,Even game four blood cover range road.,CUST0515,2.0,18 mins 8 secs,3.0,18 mins 117 secs,,1.0,,1.0,Failed,Support,,Neutral,Support,Yes
516.0,FB015,New York,Rachel,+918888800005,Candace Bishop,+255,(266)756-3568,Incoming,18 mins 27 secs,2021-06-20,07:51 PM,Know chance bag job.,CUST0516,2.0,24 mins 14 secs,1.0,,2.0,,0.0,,Failed,,Asia,,Sales,No
,FB015,,Rachel,+918888800005,Richard Medina,,540-327-7047x3475,,,2024-07-04,,Friend four possible bank hit.,CUST0517,0.0,0 mins 0 secs,3.0,57 mins 174 secs,2.0,,2.0,1.0,Busy,Feedback,Europe,Neutral,Sales,No
518.0,FB008,New York,,+918888800004,,,689-996-3855x2221,Outgoing,5 mins 51 secs,2023-06-12,03:49 PM,So action whatever picture respond agree.,,5.0,80 mins 180 secs,2.0,14 mins 80 secs,,2.0,6.0,1.0,Completed,,Europe,Satisfied,,No
519.0,FB008,New York,Steve,+918888800004,Andrew Freeman,+688,,,12 mins 49 secs,2021-09-28,07:31 PM,Prevent south reason offer talk culture.,CUST0519,5.0,25 mins 25 secs,1.0,18 mins 19 secs,1.0,2.0,6.0,0.0,No Answer,Follow-up,Europe,Satisfied,Support,No
,,Mumbai,,,,+262 639,421-972-8631,Outgoing,7 mins 9 secs,,04:00 PM,Strong draw purpose goal ever certainly.,CUST0520,5.0,85 mins 35 secs,,0 mins 0 secs,,2.0,,,,Sales,Europe,Dissatisfied,Support,No
521.0,,Nagpur,Aniruddha Kalbande,+918888800001,Wyatt Watson,+299,8243156076,Incoming,18 mins 19 secs,2023-09-11,02:25 PM,Consider rock Republican whatever benefit anything nothing.,CUST0521,0.0,0 mins 0 secs,,0 mins 0 secs,1.0,0.0,,0.0,Completed,Feedback,,Satisfied,Sales,No
522.0,FB008,New York,,+918888800004,Andrea Jacobs,,001-221-304-8192,,,2020-10-16,08:02 AM,Debate middle develop local art again know.,CUST0522,4.0,20 mins 56 secs,,30 mins 56 secs,2.0,0.0,4.0,,Busy,Inquiry,,,Support,Yes
523.0,FB015,New York,Rachel,+918888800005,Jeremy Bryant,+65,860-231-8761x793,Outgoing,7 mins 27 secs,2024-03-28,,Pretty catch should parent song.,CUST0523,1.0,17 mins 16 secs,2.0,,2.0,2.0,3.0,,Failed,Inquiry,Africa,Satisfied,Sales,No
524.0,,,Ankur Garde,+918888800002,Heather Bell,,510.375.7276x1729,Outgoing,7 mins 38 secs,2022-04-24,02:38 PM,Then break field social.,CUST0524,2.0,,0.0,0 mins 0 secs,0.0,2.0,1.0,,No Answer,Feedback,Europe,Dissatisfied,Support,No
525.0,FB008,New York,,+918888800004,Robert Fowler,,227-680-9458x4623,Incoming,,2022-12-17,06:22 PM,,CUST0525,1.0,,1.0,3 mins 56 secs,0.0,,2.0,0.0,No Answer,Feedback,Europe,,Support,Yes
526.0,FB001,Nagpur,,,Michael Hamilton,+255 24,(922)575-6141x057,Incoming,10 mins 40 secs,,08:28 PM,Attack public stop approach.,CUST0526,3.0,12 mins 57 secs,0.0,0 mins 0 secs,1.0,,3.0,0.0,Failed,Follow-up,Asia,Neutral,,No
527.0,FB008,New York,Steve,+918888800004,Ashley Hamilton,,750.636.0369x0241,Incoming,9 mins 19 secs,2020-10-24,,Dinner contain social attorney attorney pay black.,,3.0,,2.0,34 mins 18 secs,1.0,1.0,4.0,1.0,Busy,Support,Europe,Satisfied,,
528.0,,Pune,,,,+355,925.313.0201,,11 mins 34 secs,2020-09-22,04:00 AM,Community vote politics hard notice with admit establish.,CUST0528,5.0,65 mins 180 secs,3.0,,1.0,2.0,7.0,1.0,Failed,Feedback,,Satisfied,,
,FB008,New York,Steve,+918888800004,Beth West,+358 18,,,14 mins 36 secs,2022-03-06,05:01 PM,Lay sell yourself firm room bank.,CUST0529,3.0,42 mins 105 secs,2.0,36 mins 112 secs,2.0,,,1.0,No Answer,Follow-up,Asia,Satisfied,Support,Yes
,FB008,New York,,+918888800004,Courtney Olson,+882 13,4308994346,Incoming,15 mins 41 secs,2020-09-14,03:26 AM,,,5.0,100 mins 255 secs,1.0,13 mins 22 secs,1.0,0.0,,,Completed,Support,,Neutral,Support,Yes
,,New York,Rachel,+918888800005,Erin Lawrence,+1 670,001-758-347-4145,Incoming,3 mins 45 secs,2021-08-28,05:16 PM,Someone travel effect teacher staff already understand federal.,CUST0531,1.0,15 mins 3 secs,0.0,,,0.0,1.0,0.0,No Answer,Feedback,Europe,Satisfied,Sales,Yes
532.0,FB008,New York,Steve,+918888800004,Mrs. Tonya Collins,+268,,Incoming,,,,,CUST0532,,52 mins 72 secs,1.0,19 mins 22 secs,,2.0,3.0,,Completed,Sales,Africa,Satisfied,Support,Yes
533.0,FB003,Pune,Shubhangi,+918888800003,Daniel Brewer,+855,001-658-630-9023x684,Incoming,7 mins 50 secs,2022-08-31,02:18 AM,Turn section capital statement a teacher.,CUST0533,,75 mins 65 secs,,42 mins 18 secs,2.0,,2.0,6.0,Busy,,Europe,Dissatisfied,Sales,No
534.0,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Jessica Wilson,+258,845.590.8958x3881,Outgoing,18 mins 31 secs,2024-02-08,09:42 PM,Begin system process provide anything different.,CUST0534,3.0,18 mins 12 secs,5.0,,0.0,,1.0,7.0,,Follow-up,Australia,Neutral,,
535.0,FB002,Mumbai,Ankur Garde,+918888800002,John Simpson,+84,(688)364-7254x40658,Outgoing,,2022-03-23,02:17 PM,Evening media brother likely third question spring.,CUST0535,2.0,16 mins 4 secs,4.0,24 mins 32 secs,,2.0,2.0,4.0,No Answer,Inquiry,Africa,Neutral,Support,No
536.0,FB003,Pune,Shubhangi,+918888800003,Shawn Graham,,318-392-0018,Incoming,,,12:27 AM,,CUST0536,2.0,28 mins 80 secs,0.0,0 mins 0 secs,2.0,2.0,2.0,0.0,Busy,Feedback,North America,,Sales,Yes
537.0,FB002,,Ankur Garde,+918888800002,,+372,743-598-7050x090,Incoming,6 mins 33 secs,2022-01-10,09:10 PM,Attorney past book body make speech start.,CUST0537,4.0,64 mins 132 secs,,36 mins 20 secs,1.0,0.0,0.0,6.0,Failed,Follow-up,,,Support,Yes
538.0,FB003,Pune,Shubhangi,+918888800003,Cynthia Phillips,,866.488.2205,Incoming,3 mins 14 secs,,02:14 AM,Inside face around every blood maybe.,CUST0538,3.0,12 mins 153 secs,5.0,,1.0,0.0,0.0,8.0,Failed,Support,,Satisfied,Sales,
539.0,FB008,,Steve,+918888800004,Mrs. Shannon Smith MD,+502,776.633.8339,Outgoing,,2023-09-23,03:26 PM,Movie truth radio phone television trade.,CUST0539,1.0,,4.0,,1.0,1.0,1.0,4.0,No Answer,,North America,Satisfied,Support,Yes
,FB015,,Rachel,,,+221,340.385.6116x22176,Incoming,5 mins 25 secs,2021-07-31,10:52 AM,,CUST0540,4.0,,0.0,0 mins 0 secs,,2.0,3.0,1.0,,Follow-up,Africa,Dissatisfied,,Yes
541.0,,Pune,,+918888800003,,+685,573.994.5341x6761,Incoming,,2022-10-10,07:25 AM,,CUST0541,1.0,11 mins 48 secs,,,1.0,0.0,1.0,3.0,No Answer,Follow-up,Europe,Dissatisfied,Sales,No
,FB001,Nagpur,Aniruddha Kalbande,+918888800001,Daniel Delgado,+881 3,224.265.0386x3153,Outgoing,5 mins 20 secs,2023-01-29,04:22 PM,Bar inside throw commercial Mr house draw.,CUST0542,4.0,8 mins 136 secs,5.0,60 mins 95 secs,0.0,0.0,2.0,,,Support,,Satisfied,,
543.0,,Mumbai,Ankur Garde,+918888800002,Shawn Ramirez,,,Incoming,10 mins 29 secs,2023-09-03,06:45 AM,Car present side drop no.,CUST0543,0.0,0 mins 0 secs,3.0,,2.0,,2.0,,Completed,,Australia,,Support,
,FB002,Mumbai,Ankur Garde,+918888800002,Jason Williams,+500,+1-674-738-0998x78152,Outgoing,17 mins 50 secs,2023-02-06,12:04 AM,Lead author water speech PM suffer.,CUST0544,2.0,8 mins 6 secs,2.0,10 mins 84 secs,,2.0,1.0,3.0,,Support,Australia,Dissatisfied,Support,
545.0,FB003,Pune,,,Kevin Chang,+1 246,939-858-7798x192,Outgoing,12 mins 26 secs,2021-12-19,01:07 PM,Theory peace institution yes include entire.,CUST0545,,,0.0,,0.0,1.0,0.0,1.0,Busy,Follow-up,Asia,Neutral,Sales,No
